Sl,Catchment,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
71,C71,14.96,17.88,22.89,29.05,32.65,33.40,30.61,29.32,29.06,25.95,20.71,16.19
73,C73,16.19,19.30,24.51,30.26,33.86,33.54,29.81,28.38,28.48,26.19,21.21,17.16
74,C74,16.23,19.31,24.33,30.06,33.31,33.40,30.24,29.21,29.29,26.79,21.76,17.29
75,C75,16.32,19.31,24.32,29.69,32.35,32.19,29.70,29.10,29.08,26.76,21.82,17.44
76,C76,16.26,19.10,23.72,28.28,29.98,30.02,28.74,28.62,28.52,26.60,21.90,17.66
77,C77,17.43,20.20,24.70,28.73,29.93,30.03,29.07,29.03,29.03,27.27,23.03,18.87
78,C78,9.90,11.90,15.90,20.90,23.70,24.50,23.10,22.40,21.70,19.00,15.10,11.70
80,C80,14.48,17.18,21.98,27.80,30.96,31.60,29.22,28.32,27.96,24.94,20.06,15.88
81,C81,-4.80,-3.40,-0.10,4.10,7.40,10.40,11.90,11.30,9.10,4.30,-0.20,-3.00
82,C82,-9.70,-8.40,-5.40,-1.30,2.30,5.90,8.10,7.60,5.00,-0.60,-5.40,-8.00
83,C83,9.42,11.48,15.62,20.54,23.30,24.40,23.46,22.80,21.88,18.78,14.52,11.14
84,C84,15.65,18.45,23.55,29.38,32.62,33.10,30.40,29.25,29.15,26.27,21.30,16.95
85,C85,16.00,19.00,24.32,30.19,33.49,33.81,30.65,29.30,29.38,26.77,21.60,17.23
86,C86,-5.70,-4.30,-1.10,3.10,6.40,9.40,10.90,10.30,8.20,3.30,-1.40,-3.90
87,C87,6.95,8.70,12.70,17.25,19.95,21.40,20.85,20.25,19.25,16.00,11.75,8.70
88,C88,-11.80,-10.40,-7.45,-3.30,0.40,4.25,6.75,6.30,3.55,-2.45,-7.55,-10.20
89,C89,-12.30,-11.10,-8.20,-4.20,-0.40,3.50,5.45,5.00,2.65,-3.15,-8.25,-10.75
